locationId,dateTime,indicatorId,value
3773,2014-12-13 21:57:00,gamma,139
3773,2014-12-23 12:38:00,gamma,140
3773,2014-12-15 08:18:00,gamma,139
3773,2014-12-24 08:59:00,gamma,140
3773,2014-12-27 13:57:00,gamma,139
3773,2014-12-27 20:02:00,gamma,139
3773,2014-12-13 01:41:00,gamma,141
3773,2014-12-17 09:35:00,gamma,141
3773,2014-12-24 01:49:00,gamma,141
3773,2014-12-24 03:50:00,gamma,141
3773,2014-12-21 07:54:00,gamma,140
3773,2014-12-25 10:00:00,gamma,141
3773,2014-12-26 22:45:00,gamma,141
3773,2014-12-27 05:56:00,gamma,141
3773,2014-12-31 02:09:00,gamma,141
3773,2014-12-31 20:24:00,gamma,142
3773,2014-12-22 17:21:00,gamma,147
3773,2014-12-23 16:41:00,gamma,147
3773,2014-12-23 21:45:00,gamma,147
3773,2014-12-14 05:03:00,gamma,147
